league,team_a,team_b,chi2,p,sig,n_actions_a,n_actions_b,zones_tested
FA WSL 2018-19,Arsenal WFC,Birmingham City WFC,564.23,0.0,***,23681,21499,18
FA WSL 2018-19,Arsenal WFC,Brighton & Hove Albion WFC,417.31,0.0,***,23681,15102,18
FA WSL 2018-19,Arsenal WFC,Bristol City WFC,447.34,0.0,***,23681,13690,18
FA WSL 2018-19,Arsenal WFC,Chelsea FCW,61.97,0.0,***,23681,23293,18
FA WSL 2018-19,Arsenal WFC,Everton LFC,374.05,0.0,***,23681,16012,18
FA WSL 2018-19,Arsenal WFC,Liverpool WFC,319.27,0.0,***,23681,14418,18
FA WSL 2018-19,Arsenal WFC,Manchester City WFC,115.74,0.0,***,23681,25659,18
FA WSL 2018-19,Arsenal WFC,Reading WFC,156.55,0.0,***,23681,19774,18
FA WSL 2018-19,Arsenal WFC,West Ham United LFC,394.96,0.0,***,23681,17594,18
FA WSL 2018-19,Arsenal WFC,Yeovil Town LFC,382.26,0.0,***,23681,11145,18
FA WSL 2018-19,Birmingham City WFC,Brighton & Hove Albion WFC,85.73,0.0,***,21499,15102,18
FA WSL 2018-19,Birmingham City WFC,Bristol City WFC,83.72,0.0,***,21499,13690,18
FA WSL 2018-19,Birmingham City WFC,Chelsea FCW,645.7,0.0,***,21499,23293,18
FA WSL 2018-19,Birmingham City WFC,Everton LFC,52.87,1.5e-05,***,21499,16012,18
FA WSL 2018-19,Birmingham City WFC,Liverpool WFC,62.1,0.0,***,21499,14418,18
FA WSL 2018-19,Birmingham City WFC,Manchester City WFC,369.57,0.0,***,21499,25659,18
FA WSL 2018-19,Birmingham City WFC,Reading WFC,216.09,0.0,***,21499,19774,18
FA WSL 2018-19,Birmingham City WFC,West Ham United LFC,91.14,0.0,***,21499,17594,18
FA WSL 2018-19,Birmingham City WFC,Yeovil Town LFC,73.73,0.0,***,21499,11145,18
FA WSL 2018-19,Brighton & Hove Albion WFC,Bristol City WFC,69.4,0.0,***,15102,13690,18
FA WSL 2018-19,Brighton & Hove Albion WFC,Chelsea FCW,645.93,0.0,***,15102,23293,18
FA WSL 2018-19,Brighton & Hove Albion WFC,Everton LFC,113.92,0.0,***,15102,16012,18
FA WSL 2018-19,Brighton & Hove Albion WFC,Liverpool WFC,73.79,0.0,***,15102,14418,18
FA WSL 2018-19,Brighton & Hove Albion WFC,Manchester City WFC,475.36,0.0,***,15102,25659,18
FA WSL 2018-19,Brighton & Hove Albion WFC,Reading WFC,260.75,0.0,***,15102,19774,18
FA WSL 2018-19,Brighton & Hove Albion WFC,West Ham United LFC,87.42,0.0,***,15102,17594,18
FA WSL 2018-19,Brighton & Hove Albion WFC,Yeovil Town LFC,157.18,0.0,***,15102,11145,18
FA WSL 2018-19,Bristol City WFC,Chelsea FCW,709.85,0.0,***,13690,23293,18
FA WSL 2018-19,Bristol City WFC,Everton LFC,122.57,0.0,***,13690,16012,18
FA WSL 2018-19,Bristol City WFC,Liverpool WFC,164.79,0.0,***,13690,14418,18
FA WSL 2018-19,Bristol City WFC,Manchester City WFC,512.54,0.0,***,13690,25659,18
FA WSL 2018-19,Bristol City WFC,Reading WFC,321.76,0.0,***,13690,19774,18
FA WSL 2018-19,Bristol City WFC,West Ham United LFC,56.54,4e-06,***,13690,17594,18
FA WSL 2018-19,Bristol City WFC,Yeovil Town LFC,115.15,0.0,***,13690,11145,18
FA WSL 2018-19,Chelsea FCW,Everton LFC,366.24,0.0,***,23293,16012,18
FA WSL 2018-19,Chelsea FCW,Liverpool WFC,319.0,0.0,***,23293,14418,18
FA WSL 2018-19,Chelsea FCW,Manchester City WFC,104.46,0.0,***,23293,25659,18
FA WSL 2018-19,Chelsea FCW,Reading WFC,166.83,0.0,***,23293,19774,18
FA WSL 2018-19,Chelsea FCW,West Ham United LFC,361.93,0.0,***,23293,17594,18
FA WSL 2018-19,Chelsea FCW,Yeovil Town LFC,402.76,0.0,***,23293,11145,18
FA WSL 2018-19,Everton LFC,Liverpool WFC,78.17,0.0,***,16012,14418,18
FA WSL 2018-19,Everton LFC,Manchester City WFC,314.47,0.0,***,16012,25659,18
FA WSL 2018-19,Everton LFC,Reading WFC,168.67,0.0,***,16012,19774,18
FA WSL 2018-19,Everton LFC,West Ham United LFC,69.83,0.0,***,16012,17594,18
FA WSL 2018-19,Everton LFC,Yeovil Town LFC,102.46,0.0,***,16012,11145,18
FA WSL 2018-19,Liverpool WFC,Manchester City WFC,325.52,0.0,***,14418,25659,18
FA WSL 2018-19,Liverpool WFC,Reading WFC,163.2,0.0,***,14418,19774,18
FA WSL 2018-19,Liverpool WFC,West Ham United LFC,134.53,0.0,***,14418,17594,18
FA WSL 2018-19,Liverpool WFC,Yeovil Town LFC,152.99,0.0,***,14418,11145,18
FA WSL 2018-19,Manchester City WFC,Reading WFC,82.64,0.0,***,25659,19774,18
FA WSL 2018-19,Manchester City WFC,West Ham United LFC,211.63,0.0,***,25659,17594,18
FA WSL 2018-19,Manchester City WFC,Yeovil Town LFC,253.46,0.0,***,25659,11145,18
FA WSL 2018-19,Reading WFC,West Ham United LFC,158.93,0.0,***,19774,17594,18
FA WSL 2018-19,Reading WFC,Yeovil Town LFC,175.12,0.0,***,19774,11145,18
FA WSL 2018-19,West Ham United LFC,Yeovil Town LFC,103.53,0.0,***,17594,11145,18
FA WSL 2020-21,Arsenal WFC,Aston Villa,269.7,0.0,***,28166,16308,18
FA WSL 2020-21,Arsenal WFC,Birmingham City WFC,328.69,0.0,***,28166,13944,18
FA WSL 2020-21,Arsenal WFC,Brighton & Hove Albion WFC,170.71,0.0,***,28166,17281,18
FA WSL 2020-21,Arsenal WFC,Bristol City WFC,154.23,0.0,***,28166,14387,18
FA WSL 2020-21,Arsenal WFC,Chelsea FCW,163.46,0.0,***,28166,25656,18
FA WSL 2020-21,Arsenal WFC,Everton LFC,229.25,0.0,***,28166,22516,18
FA WSL 2020-21,Arsenal WFC,Manchester City WFC,145.71,0.0,***,28166,28875,18
FA WSL 2020-21,Arsenal WFC,Manchester United,62.89,0.0,***,28166,21750,18
FA WSL 2020-21,Arsenal WFC,Reading WFC,63.78,0.0,***,28166,19798,18
FA WSL 2020-21,Arsenal WFC,Tottenham Hotspur Women,220.56,0.0,***,28166,18548,18
FA WSL 2020-21,Arsenal WFC,West Ham United LFC,104.07,0.0,***,28166,17458,18
FA WSL 2020-21,Aston Villa,Birmingham City WFC,111.37,0.0,***,16308,13944,18
FA WSL 2020-21,Aston Villa,Brighton & Hove Albion WFC,47.39,0.000106,***,16308,17281,18
FA WSL 2020-21,Aston Villa,Bristol City WFC,113.41,0.0,***,16308,14387,18
FA WSL 2020-21,Aston Villa,Chelsea FCW,723.69,0.0,***,16308,25656,18
FA WSL 2020-21,Aston Villa,Everton LFC,104.15,0.0,***,16308,22516,18
FA WSL 2020-21,Aston Villa,Manchester City WFC,814.59,0.0,***,16308,28875,18
FA WSL 2020-21,Aston Villa,Manchester United,488.55,0.0,***,16308,21750,18
FA WSL 2020-21,Aston Villa,Reading WFC,261.09,0.0,***,16308,19798,18
FA WSL 2020-21,Aston Villa,Tottenham Hotspur Women,84.36,0.0,***,16308,18548,18
FA WSL 2020-21,Aston Villa,West Ham United LFC,111.15,0.0,***,16308,17458,18
FA WSL 2020-21,Birmingham City WFC,Brighton & Hove Albion WFC,147.67,0.0,***,13944,17281,18
FA WSL 2020-21,Birmingham City WFC,Bristol City WFC,102.73,0.0,***,13944,14387,18
FA WSL 2020-21,Birmingham City WFC,Chelsea FCW,1145.39,0.0,***,13944,25656,18
FA WSL 2020-21,Birmingham City WFC,Everton LFC,178.07,0.0,***,13944,22516,18
FA WSL 2020-21,Birmingham City WFC,Manchester City WFC,1126.46,0.0,***,13944,28875,18
FA WSL 2020-21,Birmingham City WFC,Manchester United,699.6,0.0,***,13944,21750,18
FA WSL 2020-21,Birmingham City WFC,Reading WFC,289.95,0.0,***,13944,19798,18
FA WSL 2020-21,Birmingham City WFC,Tottenham Hotspur Women,171.79,0.0,***,13944,18548,18
FA WSL 2020-21,Birmingham City WFC,West Ham United LFC,204.35,0.0,***,13944,17458,18
FA WSL 2020-21,Brighton & Hove Albion WFC,Bristol City WFC,67.91,0.0,***,17281,14387,18
FA WSL 2020-21,Brighton & Hove Albion WFC,Chelsea FCW,526.47,0.0,***,17281,25656,18
FA WSL 2020-21,Brighton & Hove Albion WFC,Everton LFC,81.08,0.0,***,17281,22516,18
FA WSL 2020-21,Brighton & Hove Albion WFC,Manchester City WFC,546.92,0.0,***,17281,28875,18
FA WSL 2020-21,Brighton & Hove Albion WFC,Manchester United,311.66,0.0,***,17281,21750,18
FA WSL 2020-21,Brighton & Hove Albion WFC,Reading WFC,127.75,0.0,***,17281,19798,18
FA WSL 2020-21,Brighton & Hove Albion WFC,Tottenham Hotspur Women,62.1,0.0,***,17281,18548,18
FA WSL 2020-21,Brighton & Hove Albion WFC,West Ham United LFC,42.8,0.000513,***,17281,17458,18
FA WSL 2020-21,Bristol City WFC,Chelsea FCW,638.64,0.0,***,14387,25656,18
FA WSL 2020-21,Bristol City WFC,Everton LFC,85.78,0.0,***,14387,22516,18
FA WSL 2020-21,Bristol City WFC,Manchester City WFC,588.38,0.0,***,14387,28875,18
FA WSL 2020-21,Bristol City WFC,Manchester United,328.12,0.0,***,14387,21750,18
FA WSL 2020-21,Bristol City WFC,Reading WFC,84.57,0.0,***,14387,19798,18
FA WSL 2020-21,Bristol City WFC,Tottenham Hotspur Women,55.59,6e-06,***,14387,18548,18
FA WSL 2020-21,Bristol City WFC,West Ham United LFC,77.73,0.0,***,14387,17458,18
FA WSL 2020-21,Chelsea FCW,Everton LFC,546.22,0.0,***,25656,22516,18
FA WSL 2020-21,Chelsea FCW,Manchester City WFC,55.53,6e-06,***,25656,28875,18
FA WSL 2020-21,Chelsea FCW,Manchester United,67.65,0.0,***,25656,21750,18
FA WSL 2020-21,Chelsea FCW,Reading WFC,284.79,0.0,***,25656,19798,18
FA WSL 2020-21,Chelsea FCW,Tottenham Hotspur Women,433.89,0.0,***,25656,18548,18
FA WSL 2020-21,Chelsea FCW,West Ham United LFC,278.29,0.0,***,25656,17458,18
FA WSL 2020-21,Everton LFC,Manchester City WFC,630.76,0.0,***,22516,28875,18
FA WSL 2020-21,Everton LFC,Manchester United,330.96,0.0,***,22516,21750,18
FA WSL 2020-21,Everton LFC,Reading WFC,126.24,0.0,***,22516,19798,18
FA WSL 2020-21,Everton LFC,Tottenham Hotspur Women,36.75,0.003634,**,22516,18548,18
FA WSL 2020-21,Everton LFC,West Ham United LFC,45.7,0.000191,***,22516,17458,18
FA WSL 2020-21,Manchester City WFC,Manchester United,42.55,0.000558,***,28875,21750,18
FA WSL 2020-21,Manchester City WFC,Reading WFC,217.34,0.0,***,28875,19798,18
FA WSL 2020-21,Manchester City WFC,Tottenham Hotspur Women,395.84,0.0,***,28875,18548,18
FA WSL 2020-21,Manchester City WFC,West Ham United LFC,233.29,0.0,***,28875,17458,18
FA WSL 2020-21,Manchester United,Reading WFC,121.82,0.0,***,21750,19798,18
FA WSL 2020-21,Manchester United,Tottenham Hotspur Women,284.96,0.0,***,21750,18548,18
FA WSL 2020-21,Manchester United,West Ham United LFC,164.48,0.0,***,21750,17458,18
FA WSL 2020-21,Reading WFC,Tottenham Hotspur Women,134.82,0.0,***,19798,18548,18
FA WSL 2020-21,Reading WFC,West Ham United LFC,75.4,0.0,***,19798,17458,18
FA WSL 2020-21,Tottenham Hotspur Women,West Ham United LFC,65.56,0.0,***,18548,17458,18
