cluster_id,stratum,n_possessions,pct_of_total,mean_total_pva,median_total_pva,std_total_pva,mean_mean_pva,mean_n_actions,median_n_actions,start_third_mode,end_third_mode,net_x_progress,centroid_start_x,centroid_start_y,centroid_end_x,centroid_end_y,centroid_p0_x,centroid_p0_y,centroid_p1_x,centroid_p1_y,centroid_p2_x,centroid_p2_y,centroid_p3_x,centroid_p3_y,centroid_p4_x,centroid_p4_y,centroid_p5_x,centroid_p5_y,centroid_p6_x,centroid_p6_y,centroid_p7_x,centroid_p7_y,centroid_p8_x,centroid_p8_y,centroid_p9_x,centroid_p9_y,centroid_p10_x,centroid_p10_y,centroid_p11_x,centroid_p11_y,centroid_p12_x,centroid_p12_y,centroid_p13_x,centroid_p13_y,centroid_p14_x,centroid_p14_y,centroid_p15_x,centroid_p15_y,centroid_p16_x,centroid_p16_y,centroid_p17_x,centroid_p17_y,centroid_p18_x,centroid_p18_y,centroid_p19_x,centroid_p19_y
D11,Defensive,496,2.02,0.122495,0.043987,0.174241,0.008424,19.3,16.0,Defensive,Attacking,0.55,0.2583,0.6375,0.8083,0.4375,0.258333,0.6375,0.306426,0.6375,0.354518,0.6375,0.400682,0.647637,0.445415,0.665295,0.490148,0.682953,0.534775,0.699168,0.576432,0.675136,0.618088,0.651103,0.659745,0.62707,0.701402,0.603037,0.743059,0.579005,0.75,0.534921,0.75,0.486829,0.75,0.438737,0.75,0.390645,0.75,0.342552,0.764058,0.352112,0.786196,0.394806,0.808333,0.4375
D8,Defensive,566,2.31,0.100415,0.041346,0.13958,0.009246,12.2,10.0,Defensive,Attacking,0.55,0.2333,0.3625,0.7833,0.3375,0.233333,0.3625,0.260223,0.394768,0.293598,0.409013,0.334882,0.401272,0.376166,0.393531,0.408333,0.378224,0.439946,0.352539,0.474186,0.32821,0.508427,0.303881,0.542667,0.279552,0.576908,0.255223,0.611148,0.230895,0.645389,0.206566,0.679629,0.182237,0.71387,0.157908,0.733422,0.17707,0.7459,0.217178,0.758378,0.257285,0.770855,0.297393,0.783333,0.3375
A8,Attacking,488,1.99,0.097599,0.045568,0.155997,0.009589,11.5,10.0,Attacking,Attacking,-0.0842,0.8742,0.7475,0.79,0.2912,0.874167,0.7475,0.862997,0.734474,0.832707,0.725892,0.807773,0.713474,0.809402,0.682034,0.811031,0.650594,0.81266,0.619154,0.814289,0.587714,0.815918,0.556275,0.817547,0.524835,0.819176,0.493395,0.80509,0.473027,0.774936,0.463981,0.76657,0.436395,0.762469,0.405182,0.758368,0.373968,0.754267,0.342754,0.750166,0.31154,0.758518,0.29125,0.79,0.29125
M3,Midfield,673,2.74,0.088202,0.029626,0.139429,0.007731,13.0,11.0,Midfield,Attacking,0.2333,0.5583,0.7125,0.7917,0.375,0.558333,0.7125,0.576086,0.6892,0.593839,0.665899,0.611591,0.642599,0.62666,0.618027,0.633445,0.589531,0.64023,0.561035,0.647015,0.532539,0.653799,0.504043,0.660584,0.475546,0.667833,0.447201,0.679099,0.420162,0.690366,0.393122,0.701632,0.366083,0.720203,0.35,0.749496,0.35,0.778788,0.35,0.808081,0.35,0.815101,0.357424,0.791667,0.375
A7,Attacking,458,1.87,0.076294,0.039964,0.129515,0.00811,9.5,9.0,Attacking,Attacking,0.0667,0.8133,0.0588,0.88,0.3588,0.813333,0.05875,0.827631,0.068604,0.841929,0.078458,0.842705,0.094574,0.840972,0.111852,0.839239,0.12913,0.837506,0.146408,0.835773,0.163686,0.834041,0.180964,0.832308,0.198242,0.830575,0.21552,0.83612,0.23111,0.845278,0.245864,0.854435,0.260618,0.863593,0.275371,0.87275,0.290125,0.876005,0.30681,0.877336,0.324123,0.878668,0.341437,0.88,0.35875
M2,Midfield,781,3.19,0.073949,0.01773,0.136759,0.005513,14.3,12.0,Midfield,Attacking,0.385,0.4033,0.3988,0.7883,0.6712,0.403333,0.39875,0.388639,0.432799,0.396676,0.470187,0.404713,0.507576,0.412749,0.544964,0.420786,0.582352,0.428823,0.61974,0.436859,0.657128,0.444896,0.694516,0.482747,0.695,0.520989,0.695,0.557916,0.68596,0.594573,0.675065,0.631231,0.66417,0.667888,0.653275,0.704545,0.64238,0.741202,0.631485,0.77786,0.62059,0.793938,0.633421,0.788333,0.67125
M8,Midfield,659,2.69,0.073221,0.026563,0.114924,0.006781,12.4,11.0,Midfield,Attacking,0.3467,0.52,0.2125,0.8667,0.7837,0.52,0.2125,0.54251,0.240269,0.56502,0.268039,0.58753,0.295808,0.609505,0.323845,0.618216,0.358514,0.626928,0.393183,0.63564,0.427852,0.644352,0.462522,0.656795,0.495574,0.676121,0.525647,0.695447,0.555719,0.714773,0.585792,0.734099,0.615864,0.756688,0.643461,0.780437,0.670179,0.804186,0.696896,0.827563,0.723898,0.847115,0.753824,0.866667,0.78375
D0,Defensive,593,2.42,0.071178,0.019269,0.137222,0.005364,15.3,13.0,Defensive,Attacking,0.6333,0.15,0.2125,0.7833,0.675,0.15,0.2125,0.183567,0.2504,0.209081,0.294139,0.234595,0.337878,0.258751,0.382371,0.282386,0.427153,0.306021,0.471935,0.329656,0.516718,0.353292,0.5615,0.376927,0.606282,0.401106,0.650474,0.447648,0.670421,0.494191,0.690367,0.540733,0.710314,0.576765,0.711762,0.584256,0.662673,0.634025,0.672005,0.683795,0.681337,0.733564,0.684332,0.783333,0.675
D10,Defensive,510,2.08,0.070534,0.019916,0.121445,0.005555,14.9,13.0,Defensive,Attacking,0.7375,0.1217,0.6462,0.8592,0.2537,0.121667,0.64625,0.151683,0.691275,0.1817,0.7363,0.226162,0.730649,0.275407,0.708218,0.324652,0.685787,0.361808,0.650353,0.387767,0.602872,0.413725,0.555392,0.439683,0.507911,0.465641,0.460431,0.491599,0.41295,0.517558,0.36547,0.543516,0.317989,0.593656,0.301845,0.646166,0.288774,0.698677,0.275702,0.751433,0.264065,0.8053,0.258907,0.859167,0.25375
D15,Defensive,547,2.23,0.069956,0.017212,0.139243,0.005183,15.4,14.0,Defensive,Attacking,0.4833,0.2342,0.235,0.7175,0.7925,0.234167,0.235,0.273286,0.24804,0.312405,0.26108,0.353304,0.265294,0.388842,0.283354,0.421935,0.307954,0.455029,0.332555,0.475335,0.367757,0.493381,0.404835,0.511426,0.441912,0.529472,0.478989,0.547518,0.516066,0.565563,0.553143,0.583609,0.59022,0.601655,0.627297,0.6197,0.664374,0.637746,0.701451,0.655792,0.738528,0.685676,0.766279,0.7175,0.7925
M7,Midfield,548,2.23,0.069782,0.023956,0.123321,0.006968,10.6,9.0,Midfield,Attacking,0.2117,0.6083,0.7525,0.82,0.705,0.608333,0.7525,0.620206,0.744247,0.63208,0.735993,0.644198,0.729248,0.658072,0.73332,0.671947,0.737392,0.685822,0.741464,0.699696,0.745536,0.713571,0.749608,0.727446,0.75368,0.74132,0.757752,0.755195,0.761824,0.76907,0.765895,0.782944,0.769967,0.796312,0.772841,0.803046,0.760045,0.809113,0.746991,0.812742,0.732994,0.816371,0.718997,0.82,0.705
D17,Defensive,343,1.4,0.066493,0.02542,0.095315,0.006287,11.3,10.0,Defensive,Attacking,0.8,0.1083,0.625,0.9083,0.6875,0.108333,0.625,0.137049,0.661133,0.161526,0.704523,0.186003,0.747914,0.212518,0.788755,0.260235,0.80307,0.308573,0.814311,0.358108,0.819619,0.407642,0.824926,0.457177,0.830233,0.506712,0.835541,0.556247,0.840848,0.605782,0.846155,0.653558,0.84314,0.69671,0.818244,0.739862,0.793349,0.783014,0.768453,0.826166,0.743558,0.868479,0.717391,0.908333,0.6875
A5,Attacking,519,2.12,0.0638,0.020435,0.113988,0.00503,13.0,11.0,Attacking,Attacking,0.0083,0.8083,0.25,0.8167,0.7625,0.808333,0.25,0.777757,0.272932,0.758438,0.305577,0.740234,0.339184,0.72203,0.372791,0.703826,0.406398,0.685623,0.440005,0.667419,0.473611,0.666667,0.511641,0.667839,0.549806,0.671462,0.587854,0.675086,0.625903,0.67871,0.663951,0.682333,0.701999,0.685957,0.740048,0.689581,0.778096,0.707506,0.797587,0.743893,0.785892,0.78028,0.774196,0.816667,0.7625
M17,Midfield,494,2.01,0.060928,0.022438,0.092334,0.006307,10.0,9.0,Midfield,Attacking,0.3275,0.53,0.16,0.8575,0.3075,0.53,0.16,0.555105,0.174549,0.58021,0.189099,0.605315,0.203648,0.63042,0.218198,0.649754,0.238811,0.665527,0.263166,0.6739,0.244306,0.680672,0.216091,0.700709,0.202132,0.729338,0.197406,0.757967,0.19268,0.786595,0.187954,0.815224,0.183229,0.843853,0.178503,0.8575,0.191435,0.8575,0.220451,0.8575,0.249467,0.8575,0.278484,0.8575,0.3075
A0,Attacking,395,1.61,0.0502,0.017586,0.10124,0.005329,9.7,9.0,Attacking,Attacking,-0.0208,0.8792,0.8312,0.8583,0.8088,0.879167,0.83125,0.877485,0.848349,0.875803,0.865448,0.874121,0.882547,0.872439,0.899646,0.866698,0.89965,0.85751,0.885132,0.848321,0.870614,0.839132,0.856096,0.829944,0.841578,0.820755,0.82706,0.811566,0.812542,0.818066,0.817269,0.833968,0.810763,0.84987,0.804258,0.845063,0.811124,0.846044,0.816611,0.861572,0.809255,0.874514,0.802971,0.858333,0.80875
M16,Midfield,714,2.91,0.043792,0.009398,0.09825,0.004179,11.1,9.0,Midfield,Attacking,0.2392,0.4633,0.3312,0.7025,0.3038,0.463333,0.33125,0.477984,0.323596,0.492634,0.315941,0.507284,0.308287,0.521935,0.300632,0.536585,0.292978,0.547665,0.280803,0.558508,0.268326,0.569351,0.25585,0.580193,0.243374,0.591036,0.230897,0.603269,0.224701,0.618365,0.231433,0.632568,0.239497,0.644525,0.25091,0.656482,0.262324,0.668438,0.273737,0.680395,0.28515,0.692352,0.296563,0.7025,0.30375
D6,Defensive,477,1.95,0.040779,0.015961,0.072959,0.003539,11.5,10.0,Defensive,Attacking,0.6833,0.0917,0.5625,0.775,0.125,0.091667,0.5625,0.118161,0.522758,0.141312,0.481042,0.163298,0.438639,0.185285,0.396236,0.207271,0.353834,0.229258,0.311431,0.262474,0.2875,0.310238,0.2875,0.358002,0.2875,0.396755,0.265745,0.442741,0.256394,0.490025,0.249639,0.537309,0.242884,0.579706,0.229029,0.602902,0.187276,0.635565,0.158024,0.682044,0.147016,0.728522,0.136008,0.775,0.125
D3,Defensive,469,1.91,0.034689,0.011239,0.071584,0.003092,11.5,10.0,Defensive,Attacking,0.4908,0.2392,0.6562,0.73,0.8362,0.239167,0.65625,0.261254,0.655303,0.293608,0.662052,0.325962,0.668802,0.358317,0.675551,0.3911,0.672854,0.423933,0.669065,0.443802,0.693739,0.462493,0.720997,0.481184,0.748255,0.499876,0.775513,0.518567,0.802771,0.537258,0.830029,0.555949,0.857287,0.57464,0.884545,0.604615,0.878159,0.635961,0.867681,0.667307,0.857204,0.698654,0.846727,0.73,0.83625
A4,Attacking,346,1.41,0.033005,0.008284,0.070787,0.002517,13.7,12.0,Attacking,Attacking,0.0217,0.7117,0.7238,0.7333,0.0875,0.711667,0.72375,0.670478,0.742339,0.62929,0.760929,0.609572,0.734985,0.598466,0.691182,0.587359,0.647379,0.576252,0.603576,0.565146,0.559774,0.554039,0.515971,0.544283,0.472422,0.57056,0.435659,0.596838,0.398895,0.623115,0.362132,0.642272,0.32149,0.6589,0.279472,0.675528,0.237453,0.692157,0.195435,0.708785,0.153416,0.725413,0.111398,0.733333,0.0875
A6,Attacking,337,1.37,0.031969,0.003548,0.098054,0.001529,17.6,15.0,Attacking,Midfield,-0.025,0.6917,0.2625,0.6667,0.625,0.691667,0.2625,0.653085,0.227777,0.602346,0.221892,0.550549,0.218514,0.498753,0.215136,0.45201,0.221986,0.438624,0.271924,0.426395,0.322369,0.414166,0.372814,0.401937,0.42326,0.389708,0.473705,0.391191,0.523574,0.407605,0.572816,0.42402,0.622059,0.440434,0.671302,0.470464,0.692916,0.519515,0.675937,0.568565,0.658958,0.617616,0.641979,0.666667,0.625
A1,Attacking,413,1.68,0.028779,0.006506,0.07083,0.00273,10.4,9.0,Attacking,Attacking,0.0142,0.75,0.9488,0.7642,0.7338,0.75,0.94875,0.721786,0.943019,0.693572,0.937288,0.670597,0.927802,0.674229,0.899242,0.677861,0.870682,0.681493,0.842121,0.685125,0.813561,0.688757,0.785001,0.692389,0.756441,0.696021,0.727881,0.68519,0.728068,0.684129,0.751497,0.696786,0.777356,0.709443,0.803214,0.722099,0.829073,0.733006,0.814303,0.743393,0.787452,0.75378,0.760601,0.764167,0.73375
M12,Midfield,533,2.17,0.02874,0.007889,0.067592,0.002482,12.1,11.0,Midfield,Attacking,0.2308,0.4767,0.7638,0.7075,0.1875,0.476667,0.76375,0.457586,0.724499,0.438506,0.685247,0.419425,0.645996,0.417574,0.60666,0.429324,0.564628,0.441075,0.522597,0.452826,0.480565,0.464577,0.438533,0.479102,0.398515,0.515416,0.374306,0.551729,0.350097,0.576833,0.315046,0.599818,0.277947,0.622804,0.240847,0.64579,0.203747,0.668776,0.166647,0.691761,0.129548,0.702931,0.144097,0.7075,0.1875
A3,Attacking,476,1.94,0.026215,0.007984,0.054974,0.002206,12.1,10.0,Attacking,Attacking,-0.0867,0.765,0.1188,0.6783,0.3688,0.765,0.11875,0.746973,0.129768,0.737054,0.153052,0.727135,0.176337,0.717215,0.199621,0.707296,0.222906,0.697377,0.24619,0.687458,0.269475,0.677538,0.292759,0.667619,0.316044,0.6577,0.339328,0.647781,0.362613,0.637861,0.385897,0.627942,0.409182,0.625373,0.41131,0.638684,0.389784,0.651995,0.368258,0.665306,0.346732,0.674754,0.343695,0.678333,0.36875
M0,Midfield,538,2.19,0.023472,0.005408,0.073238,0.00132,16.0,14.0,Midfield,Midfield,0.1892,0.4617,0.245,0.6508,0.2512,0.461667,0.245,0.445593,0.299291,0.42952,0.353583,0.413446,0.407874,0.397373,0.462165,0.381299,0.516457,0.365226,0.570748,0.349152,0.625039,0.387549,0.619564,0.406915,0.577044,0.404569,0.520472,0.402223,0.4639,0.399877,0.407328,0.397531,0.350756,0.4286,0.356167,0.457524,0.307491,0.487663,0.262216,0.54102,0.278904,0.595927,0.265077,0.650833,0.25125
M5,Midfield,513,2.09,0.021338,0.003683,0.072387,0.001459,13.3,11.0,Midfield,Midfield,0.0667,0.545,0.9125,0.6117,0.4,0.545,0.9125,0.551267,0.881276,0.557534,0.850053,0.563801,0.818829,0.562567,0.790843,0.546098,0.763585,0.52963,0.736327,0.513162,0.70907,0.496694,0.681812,0.480225,0.654554,0.467488,0.625924,0.462377,0.594491,0.471614,0.565558,0.487058,0.537707,0.502502,0.509856,0.517946,0.482005,0.53339,0.454154,0.558715,0.435397,0.585191,0.417698,0.611667,0.4
M10,Midfield,581,2.37,0.019701,0.006726,0.037956,0.00202,9.7,9.0,Midfield,Attacking,0.2167,0.475,0.825,0.6917,0.8125,0.475,0.825,0.495258,0.81395,0.515516,0.8029,0.535774,0.79185,0.556032,0.780801,0.555705,0.775,0.557055,0.790874,0.566427,0.811961,0.575799,0.833047,0.58717,0.852398,0.606738,0.864628,0.626306,0.876858,0.645874,0.889088,0.665442,0.901318,0.682708,0.910624,0.675411,0.888732,0.672122,0.865914,0.669072,0.843041,0.671027,0.82282,0.691667,0.8125
M9,Midfield,481,1.96,0.018157,0.004907,0.04615,0.001009,17.2,16.0,Midfield,Midfield,0.1667,0.4333,0.5125,0.6,0.7,0.433333,0.5125,0.450663,0.574006,0.441958,0.534,0.447749,0.46451,0.457008,0.395454,0.466904,0.326432,0.476596,0.257378,0.486288,0.188325,0.483333,0.172696,0.483333,0.242426,0.483333,0.312157,0.483333,0.381887,0.4741,0.449775,0.425,0.456619,0.425,0.526349,0.425,0.596079,0.425,0.665809,0.46054,0.7,0.53027,0.7,0.6,0.7
D13,Defensive,605,2.47,0.017646,0.007108,0.048298,0.001546,10.5,9.0,Defensive,Midfield,0.3083,0.2167,0.2625,0.525,0.375,0.216667,0.2625,0.241395,0.270449,0.266124,0.278397,0.290853,0.286346,0.315582,0.294294,0.334407,0.29275,0.338214,0.267056,0.342021,0.241361,0.345827,0.215667,0.349634,0.189973,0.365426,0.205195,0.382495,0.224774,0.399564,0.244353,0.416633,0.263932,0.433702,0.283512,0.450771,0.303091,0.46784,0.32267,0.484909,0.342249,0.50422,0.359415,0.525,0.375
D9,Defensive,646,2.63,0.016774,0.010483,0.035321,0.001526,11.2,10.0,Defensive,Midfield,0.4333,0.15,0.4625,0.5833,0.75,0.15,0.4625,0.171287,0.478673,0.180487,0.510871,0.189686,0.543069,0.198886,0.575268,0.208085,0.607466,0.217285,0.639664,0.226484,0.671862,0.235684,0.704061,0.25263,0.729111,0.28449,0.738923,0.317606,0.743891,0.350722,0.748858,0.383838,0.753826,0.416955,0.758793,0.450099,0.761446,0.483327,0.757292,0.516555,0.753139,0.549847,0.75,0.583333,0.75
A2,Attacking,465,1.9,0.016564,0.003159,0.044977,0.00098,16.3,15.0,Attacking,Midfield,-0.4083,0.7833,0.775,0.375,0.55,0.783333,0.775,0.745928,0.751102,0.708522,0.727204,0.671117,0.703306,0.633711,0.679408,0.596306,0.65551,0.5589,0.631612,0.521495,0.607714,0.484089,0.583816,0.446684,0.559918,0.409278,0.53602,0.371873,0.512123,0.334467,0.488225,0.323996,0.445483,0.327185,0.413815,0.37123,0.41932,0.415275,0.424826,0.403073,0.46578,0.389037,0.50789,0.375,0.55
M11,Midfield,562,2.29,0.015436,0.003422,0.056965,0.001211,12.3,11.0,Midfield,Midfield,0.0833,0.5392,0.08,0.6225,0.7962,0.539167,0.08,0.529578,0.121579,0.51999,0.163157,0.510402,0.204736,0.500813,0.246314,0.491225,0.287893,0.481637,0.329471,0.472048,0.37105,0.46246,0.412628,0.452872,0.454207,0.449415,0.496167,0.453768,0.538614,0.458122,0.581061,0.462475,0.623508,0.466829,0.665955,0.502573,0.68101,0.538701,0.700635,0.56903,0.73065,0.599358,0.760666,0.6225,0.79625
M15,Midfield,691,2.82,0.014355,0.004697,0.042801,0.000956,13.7,12.0,Midfield,Midfield,0.1883,0.3917,0.4562,0.58,0.6912,0.391667,0.45625,0.359478,0.427987,0.3297,0.384906,0.299921,0.341824,0.270143,0.298743,0.242292,0.262499,0.241545,0.314699,0.24886,0.366557,0.256176,0.418415,0.263491,0.470273,0.270807,0.522131,0.278122,0.573989,0.285438,0.625847,0.298303,0.674063,0.342968,0.701409,0.387633,0.728755,0.431583,0.732808,0.476603,0.707987,0.528301,0.699618,0.58,0.69125
D1,Defensive,658,2.68,0.013838,0.005631,0.033186,0.001082,12.6,11.0,Defensive,Midfield,0.1033,0.2775,0.7038,0.3808,0.205,0.2775,0.70375,0.2787,0.674251,0.279901,0.644751,0.281101,0.615252,0.282301,0.585753,0.283501,0.556254,0.284702,0.526754,0.285902,0.497255,0.287102,0.467756,0.288303,0.438256,0.301071,0.411707,0.315354,0.385884,0.330157,0.36034,0.344961,0.334796,0.359764,0.309251,0.374567,0.283707,0.389371,0.258163,0.404174,0.232619,0.409702,0.211186,0.380833,0.205
D4,Defensive,769,3.14,0.011708,0.004822,0.030097,0.000926,12.4,11.0,Defensive,Midfield,0.1925,0.2225,0.3175,0.415,0.6462,0.2225,0.3175,0.235388,0.282306,0.248276,0.247111,0.253933,0.246645,0.251702,0.284058,0.24947,0.321472,0.247239,0.358885,0.245008,0.396299,0.242776,0.433712,0.240545,0.471126,0.238314,0.508539,0.236083,0.545953,0.233851,0.583366,0.231788,0.620772,0.237596,0.657799,0.270652,0.657384,0.307671,0.651524,0.34469,0.645665,0.381709,0.639805,0.415,0.64625
D2,Defensive,542,2.21,0.010976,0.008643,0.031662,0.000841,13.7,13.0,Defensive,Midfield,0.3125,0.0767,0.5662,0.3892,0.7025,0.076667,0.56625,0.075711,0.524602,0.104638,0.490928,0.133566,0.457254,0.162493,0.423579,0.191421,0.389905,0.220348,0.356231,0.249275,0.322557,0.278203,0.288883,0.276935,0.310234,0.261131,0.351719,0.280704,0.386155,0.29307,0.428791,0.305437,0.471427,0.317804,0.514063,0.330171,0.556699,0.342538,0.599334,0.354905,0.64197,0.367272,0.684606,0.389167,0.7025
D14,Defensive,657,2.68,0.010573,0.005392,0.030451,0.000752,13.5,12.0,Defensive,Midfield,0.2333,0.125,0.575,0.3583,0.3625,0.125,0.575,0.141725,0.608451,0.160482,0.640722,0.181227,0.67184,0.201972,0.702958,0.222717,0.734076,0.243462,0.765193,0.250589,0.749394,0.251448,0.712005,0.252308,0.674616,0.253167,0.637227,0.254027,0.599838,0.254886,0.562449,0.255746,0.52506,0.256605,0.487671,0.257465,0.450282,0.258324,0.412893,0.291432,0.395951,0.324883,0.379225,0.358333,0.3625
D12,Defensive,725,2.96,0.009905,0.006766,0.024849,0.001018,9.7,9.0,Defensive,Defensive,0.1667,0.1333,0.2625,0.3,0.2625,0.133333,0.2625,0.140983,0.251025,0.148633,0.23955,0.156283,0.228076,0.163933,0.216601,0.171583,0.205126,0.179232,0.193651,0.186882,0.182177,0.196415,0.177035,0.209091,0.182467,0.221767,0.1879,0.234443,0.193333,0.247118,0.198765,0.25,0.210656,0.25,0.224447,0.25066,0.23783,0.262995,0.243997,0.27533,0.250165,0.287665,0.256332,0.3,0.2625
M13,Midfield,562,2.29,0.009687,0.002758,0.030224,0.0008,12.5,11.0,Midfield,Midfield,0.175,0.375,0.8125,0.55,0.1875,0.375,0.8125,0.357499,0.774316,0.339998,0.736132,0.322497,0.697948,0.304996,0.659764,0.287495,0.621579,0.279798,0.58068,0.275159,0.538933,0.287827,0.49902,0.30111,0.459171,0.314392,0.419323,0.327675,0.379475,0.340958,0.339627,0.354241,0.299778,0.374454,0.26332,0.397753,0.22837,0.431163,0.21036,0.472984,0.206439,0.514804,0.202518,0.55,0.1875
D16,Defensive,541,2.21,0.008637,0.004736,0.023116,0.00084,9.5,9.0,Defensive,Midfield,0.1417,0.25,0.875,0.3917,0.8375,0.25,0.875,0.242452,0.8625,0.222404,0.8625,0.202356,0.8625,0.198974,0.856654,0.214629,0.84413,0.230284,0.831606,0.245939,0.819082,0.261594,0.806558,0.277249,0.794034,0.292903,0.781511,0.308558,0.768987,0.316667,0.772164,0.316667,0.792212,0.316667,0.81226,0.316667,0.832308,0.331523,0.8375,0.351571,0.8375,0.371619,0.8375,0.391667,0.8375
D5,Defensive,482,1.97,0.008047,0.008206,0.02047,0.000794,10.2,9.0,Defensive,Midfield,0.2825,0.07,0.435,0.3525,0.1088,0.07,0.435,0.088641,0.4693,0.107283,0.503601,0.125924,0.537901,0.134453,0.524807,0.13747,0.485886,0.140487,0.446964,0.143505,0.408042,0.146522,0.36912,0.152557,0.331579,0.180036,0.30385,0.203649,0.273215,0.222638,0.239106,0.241628,0.204998,0.260618,0.170889,0.279607,0.13678,0.298597,0.102671,0.317587,0.068563,0.335468,0.073622,0.3525,0.10875
D7,Defensive,544,2.22,0.007389,0.004651,0.022993,0.000753,9.6,9.0,Defensive,Defensive,0.225,0.125,0.525,0.35,0.825,0.125,0.525,0.125,0.554801,0.125,0.584602,0.125,0.614403,0.125,0.644204,0.125,0.674005,0.140979,0.698968,0.157509,0.723764,0.17404,0.74856,0.162932,0.775344,0.150119,0.80225,0.137307,0.829156,0.153893,0.8375,0.183694,0.8375,0.213495,0.8375,0.243296,0.8375,0.273097,0.8375,0.302898,0.8375,0.332699,0.8375,0.35,0.825
M14,Midfield,542,2.21,0.006913,0.003506,0.018375,0.000657,9.6,9.0,Midfield,Midfield,0.0217,0.3908,0.7238,0.4125,0.8812,0.390833,0.72375,0.394611,0.733465,0.39839,0.74318,0.402168,0.752896,0.405946,0.762611,0.410313,0.772037,0.41569,0.780967,0.421067,0.789897,0.426444,0.798827,0.431822,0.807757,0.437199,0.816687,0.442576,0.825617,0.447953,0.834547,0.453331,0.843477,0.448805,0.849894,0.43982,0.855179,0.430835,0.860465,0.42185,0.86575,0.412865,0.871035,0.4125,0.88125
M6,Midfield,430,1.75,0.006277,0.004348,0.016292,0.000687,9.2,8.0,Midfield,Midfield,0.1167,0.4167,0.1,0.5333,0.1,0.416667,0.1,0.425,0.089636,0.425,0.106796,0.425,0.123956,0.425,0.141115,0.425,0.158275,0.425,0.175434,0.425,0.192594,0.425,0.209753,0.434834,0.201963,0.446543,0.189419,0.458251,0.176874,0.469959,0.164329,0.481667,0.151785,0.493376,0.13924,0.505084,0.126696,0.516792,0.114151,0.528501,0.101606,0.540209,0.089062,0.533333,0.1
M4,Midfield,595,2.43,0.004241,0.001209,0.01989,0.000341,11.7,10.0,Midfield,Defensive,-0.2417,0.4667,0.7125,0.225,0.575,0.466667,0.7125,0.442112,0.709152,0.417557,0.705803,0.393002,0.702455,0.368619,0.69826,0.34471,0.691739,0.320801,0.685218,0.296892,0.678698,0.291916,0.681437,0.288258,0.678694,0.268432,0.663824,0.248606,0.648955,0.228781,0.634085,0.208955,0.619216,0.189129,0.604347,0.169303,0.589477,0.150653,0.575,0.175435,0.575,0.200218,0.575,0.225,0.575
M1,Midfield,557,2.27,0.003832,0.001439,0.012646,0.000328,11.4,10.0,Midfield,Defensive,-0.21,0.4458,0.2825,0.2358,0.3525,0.445833,0.2825,0.425614,0.27576,0.405327,0.270748,0.384644,0.275896,0.363962,0.281044,0.34328,0.286192,0.322597,0.29134,0.301915,0.296488,0.281233,0.301636,0.26055,0.306784,0.239868,0.311932,0.219186,0.31708,0.225916,0.299825,0.233418,0.284487,0.225902,0.304432,0.218387,0.324376,0.210872,0.344321,0.203357,0.364265,0.216586,0.361654,0.235833,0.3525
